team_id,location,time,official_round_1_score,scraped_round_1_score,warned_multi_instances,warned_time,score_delta
08-0188,cap,5:47,126,134,false,false,8
08-2696,ajrotc,5:53,129,137,false,false,8
08-0029,mcjrotc,5:40,76,84,false,false,8
08-0782,njrotc,2:01,76,84,false,false,8
08-2216,njrotc,5:28,103,111,false,false,8
08-2840,afjrotc,5:03,124,132,false,false,8
08-0420,ajrotc,2:40,97,105,false,false,8
08-2219,njrotc,4:51,123,131,false,false,8
08-1880,afjrotc,5:18,92,50,false,false,-42
08-2440,afjrotc,5:28,84,92,false,false,8
08-2565,ajrotc,5:52,162,170,false,false,8
08-1965,mcjrotc,4:28,78,86,false,false,8
08-0264,njrotc,4:44,145,153,false,false,8
08-1213,njrotc,5:55,142,150,false,false,8
08-0533,njrotc,4:59,112,125,false,false,13
08-1544,njrotc,5:34,97,105,false,false,8
08-1545,njrotc,5:35,137,145,false,false,8
08-1546,njrotc,5:36,130,118,true,false,-12
08-0445,mcjrotc,5:58,149,187,false,false,38
08-1793,mcjrotc,5:49,92,157,false,false,65
08-3138,cap,2:31,56,64,false,false,8
08-0794,afjrotc,6:02,163,171,false,true,8
08-1613,afjrotc,5:57,146,154,false,false,8
08-1742,mcjrotc,5:56,147,155,false,false,8
08-2070,mcjrotc,5:56,144,152,false,false,8
08-2000,njrotc,5:25,119,127,false,false,8
08-2002,njrotc,5:29,119,127,false,false,8
08-1003,ajrotc,5:55,140,148,false,false,8
08-2117,afjrotc,5:25,135,143,false,false,8
08-2170,afjrotc,4:58,125,133,false,false,8
08-0500,afjrotc,5:39,155,163,false,false,8
08-0287,mcjrotc,6:00,24,32,false,false,8
08-3122,ajrotc,6:07,155,163,false,true,8
08-0442,njrotc,5:00,171,179,false,false,8
08-2761,afjrotc,5:32,102,110,false,false,8
08-0524,cap,5:57,134,142,false,false,8
08-3421,afjrotc,5:39,128,136,false,false,8
08-1823,mcjrotc,4:15,153,161,false,false,8
08-2754,cap,4:37,111,119,false,false,8
08-1750,afjrotc,4:54,98,106,false,false,8
08-0441,njrotc,5:42,177,185,false,false,8
08-2558,afjrotc,5:48,52,60,false,false,8
08-1198,cap,5:51,103,111,false,false,8
08-2284,njrotc,4:16,90,103,false,false,13
08-0528,afjrotc,4:46,148,156,false,false,8
08-1430,ajrotc,2:27,92,100,false,false,8
08-1845,njrotc,4:13,109,117,false,false,8
08-0219,cap,6:03,155,163,false,true,8
08-2177,afjrotc,4:37,98,106,false,false,8
08-0380,afjrotc,5:57,85,93,false,false,8
08-2300,njrotc,3:41,98,106,false,false,8
08-1765,ajrotc,4:32,111,119,false,false,8
08-0675,afjrotc,5:33,133,141,false,false,8
08-0935,afjrotc,3:57,99,107,false,false,8
08-2296,njrotc,4:35,82,90,false,false,8
08-3330,cap,5:51,90,98,false,false,8
08-0229,njrotc,4:31,113,121,false,false,8
08-2297,njrotc,4:18,80,88,false,false,8
08-2281,ajrotc,4:58,110,118,false,false,8
08-2280,ajrotc,5:05,153,161,false,false,8
08-0230,njrotc,4:24,115,123,false,false,8
08-0228,njrotc,4:22,87,95,false,false,8
08-2838,ajrotc,5:36,106,114,false,false,8
08-2836,ajrotc,5:23,63,71,false,false,8
08-1336,ajrotc,2:46,93,101,false,false,8
08-2255,ajrotc,5:59,159,167,false,false,8
08-2408,ajrotc,5:55,137,145,false,false,8
08-1381,afjrotc,5:59,114,122,false,false,8
08-2983,afjrotc,2:21,93,101,false,false,8
08-1476,ajrotc,5:31,85,93,false,false,8
08-2409,ajrotc,5:44,145,153,false,false,8
08-2137,ajrotc,5:09,105,113,false,false,8
08-0998,ajrotc,5:15,98,106,false,false,8
08-2657,mcjrotc,4:26,83,91,false,false,8
08-0460,afjrotc,6:49,84,87,false,true,3
08-0356,afjrotc,5:16,79,87,false,false,8
08-1465,ajrotc,5:16,142,150,false,false,8
08-0459,afjrotc,6:03,117,125,false,true,8
08-1477,ajrotc,5:08,52,60,false,false,8
08-0575,ajrotc,5:47,173,181,false,false,8
08-0580,ajrotc,5:46,162,170,false,false,8
08-0436,cap,5:59,186,194,false,false,8
08-2535,afjrotc,5:36,129,137,false,false,8
08-3243,cap,25:18,149,157,false,true,8
08-1677,njrotc,3:39,133,141,false,false,8
08-1676,njrotc,3:43,141,149,false,false,8
08-0434,mcjrotc,4:53,186,194,false,false,8
08-1567,ajrotc,6:01,108,116,false,true,8
08-2947,njrotc,3:03,93,101,false,false,8
08-2924,cap,5:55,152,160,false,false,8
08-3390,afjrotc,1:48,68,76,false,false,8
08-2373,afjrotc,8:00,0,8,false,true,8
08-1696,njrotc,4:39,159,141,false,false,-18
08-1447,njrotc,3:44,34,42,false,false,8
08-1695,njrotc,4:37,133,167,false,false,34
08-1127,cap,6:01,42,50,false,true,8
08-0379,njrotc,2:00,50,58,false,false,8
08-0713,cap,5:56,162,119,false,false,-43
08-1699,mcjrotc,5:46,147,160,false,false,13
08-2778,cap,2:43,121,129,false,false,8
08-1144,cap,5:10,139,147,false,false,8
08-2770,afjrotc,5:31,159,167,false,false,8
08-0525,cap,2:44,115,123,false,false,8
08-0576,afjrotc,3:23,70,78,false,false,8
08-2421,cap,5:50,159,167,false,false,8
08-0538,njrotc,5:51,186,194,false,false,8
08-0231,cap,5:51,99,107,false,false,8
08-2319,njrotc,2:26,142,150,false,false,8
08-2762,afjrotc,5:11,105,113,false,false,8
08-0369,cap,4:57,68,76,false,false,8
08-0194,afjrotc,5:13,65,73,false,false,8
08-0106,afjrotc,5:13,102,115,false,false,13
08-0670,afjrotc,5:55,159,167,false,false,8
08-2804,afjrotc,5:06,78,86,false,false,8
08-0466,cap,13:32,91,99,false,true,8
08-1446,njrotc,43:04,88,96,false,true,8
08-2764,afjrotc,4:51,85,93,false,false,8
08-0476,mcjrotc,5:45,138,146,false,false,8
08-0698,mcjrotc,5:40,133,141,false,false,8
08-3009,njrotc,5:46,108,116,false,false,8
08-3008,njrotc,5:39,144,152,false,false,8
08-2656,afjrotc,3:43,84,92,false,false,8
08-0173,afjrotc,4:44,62,70,false,false,8
08-2025,ajrotc,2:41,89,97,false,false,8
08-2024,ajrotc,2:36,89,97,false,false,8
08-2194,afjrotc,4:11,171,179,false,false,8
08-0464,afjrotc,4:25,166,174,false,false,8
08-3316,afjrotc,5:16,119,127,false,false,8
08-1964,mcjrotc,4:31,40,53,false,false,13
08-2121,afjrotc,5:44,168,176,true,false,8
08-2415,afjrotc,3:49,86,94,false,false,8
08-3384,ajrotc,5:44,132,140,false,false,8
08-2218,mcjrotc,4:53,179,187,false,false,8
08-1136,cap,6:02,149,157,false,true,8
08-1249,ajrotc,6:34,106,114,false,true,8
08-2259,njrotc,5:51,172,180,false,false,8
08-2757,njrotc,5:47,162,170,false,false,8
08-1792,njrotc,5:46,172,180,false,false,8
08-1584,ajrotc,4:30,182,190,false,false,8
08-0957,cap,7:43,48,40,false,true,-8
08-1927,afjrotc,5:48,163,171,false,false,8
08-1152,njrotc,5:39,172,180,false,false,8
08-3187,ajrotc,5:56,95,103,false,false,8
08-3148,mcjrotc,5:35,143,151,false,false,8
08-3006,mcjrotc,5:48,128,136,false,false,8
08-3005,mcjrotc,5:47,131,139,false,false,8
08-3003,mcjrotc,5:49,126,134,false,false,8
08-3004,mcjrotc,5:43,121,129,false,false,8
08-2590,mcjrotc,5:52,94,102,false,false,8
08-0718,cap,5:37,113,121,false,false,8
08-1302,afjrotc,5:59,181,189,false,false,8
08-1462,mcjrotc,4:01,164,172,false,false,8
08-2640,mcjrotc,4:54,86,94,false,false,8
08-0639,cap,5:57,149,157,false,false,8
08-1293,njrotc,4:41,27,35,false,false,8
08-1291,afjrotc,5:50,133,141,false,false,8
08-1217,njrotc,6:03,152,160,false,true,8
08-3091,cap,5:51,96,104,false,false,8
08-1290,afjrotc,5:54,164,172,false,false,8
08-0736,cap,4:23,47,55,false,false,8
08-1148,cap,5:57,187,195,false,false,8
08-0120,cap,5:54,157,165,false,false,8
08-1214,njrotc,6:03,152,160,false,true,8
08-1015,afjrotc,5:55,175,183,false,false,8
08-2600,cap,6:09,118,126,false,true,8
08-0076,cap,5:51,168,176,false,false,8
08-2598,cap,6:00,83,91,false,false,8
08-0077,afjrotc,5:44,102,110,false,false,8
08-0007,cap,5:58,136,144,false,false,8
08-2599,cap,6:14,140,148,false,true,8
08-1974,cap,6:09,140,148,false,true,8
08-1809,mcjrotc,5:01,106,119,true,false,13
08-1808,mcjrotc,4:51,132,140,false,false,8
08-2504,njrotc,5:43,138,146,false,false,8
08-0708,cap,6:33,123,131,false,true,8
08-3345,afjrotc,5:43,110,118,false,false,8
08-0223,cap,4:33,160,168,false,false,8
08-2601,cap,6:00,98,111,false,false,13
08-2797,afjrotc,4:57,138,146,false,false,8
08-1402,afjrotc,5:57,82,90,false,false,8
08-0079,afjrotc,5:44,112,120,false,false,8
08-1943,afjrotc,5:35,168,176,false,false,8
08-1980,cap,6:03,118,126,false,true,8
08-2473,afjrotc,5:21,91,99,false,false,8
08-2470,afjrotc,5:20,126,134,false,false,8
08-1296,njrotc,6:04,105,113,false,true,8
08-1605,cap,5:38,92,100,false,false,8
08-0465,afjrotc,5:25,148,156,false,false,8
08-1961,ajrotc,5:45,113,126,false,false,13
08-2984,mcjrotc,6:00,178,186,false,false,8
08-2190,ajrotc,4:20,91,99,false,false,8
08-2934,mcjrotc,6:03,104,112,false,true,8
08-1133,cap,5:54,108,116,false,false,8
08-1541,cap,6:41,44,27,false,true,-17
08-0856,ajrotc,5:46,130,138,false,false,8
08-0318,cap,2:33,112,120,false,false,8
08-0976,cap,5:57,182,190,false,false,8
08-1960,njrotc,5:33,150,158,false,false,8
08-1912,cap,4:32,142,155,false,false,13
08-2346,ajrotc,5:07,161,169,false,false,8
08-1806,afjrotc,5:13,168,176,false,false,8
08-1507,ajrotc,5:03,161,169,false,false,8
08-2976,afjrotc,5:56,155,163,false,false,8
08-2329,njrotc,2:58,43,51,false,false,8
08-2498,mcjrotc,6:05,104,112,false,true,8
08-2659,afjrotc,5:59,131,144,false,false,13
08-1606,afjrotc,5:58,173,181,false,false,8
08-1992,njrotc,2:52,37,45,false,false,8
08-2206,cap,4:20,71,79,false,false,8
08-2232,cap,4:16,87,95,false,false,8
08-1158,njrotc,6:00,182,190,false,false,8
08-0485,cap,7:48,71,79,false,true,8
08-2624,cap,2:55,76,84,false,false,8
08-1601,afjrotc,6:01,147,178,false,true,31
08-1548,cap,6:00,159,167,false,false,8
08-2859,cap,6:13,58,66,false,true,8
08-0752,ajrotc,3:31,144,152,false,false,8
08-0577,afjrotc,5:42,130,138,false,false,8
08-1085,cap,5:31,146,154,false,false,8
08-1266,njrotc,0:43,5,122,false,false,117
08-1245,afjrotc,6:01,142,146,false,true,4
08-0289,mcjrotc,5:21,172,180,false,false,8
08-1267,njrotc,5:55,164,172,false,false,8
08-2909,cap,6:00,117,125,false,false,8
08-1264,njrotc,5:49,138,146,false,false,8
08-1122,cap,5:59,185,193,false,false,8
08-1322,afjrotc,5:56,163,140,false,false,-23
08-1673,ajrotc,5:28,174,162,false,false,-12
08-2514,afjrotc,5:41,136,144,false,false,8
08-2697,afjrotc,5:40,129,142,false,false,13
08-1324,afjrotc,5:48,132,150,false,false,18
08-3097,cap,5:02,71,79,false,false,8
08-0947,cap,5:19,132,140,false,false,8
08-2444,afjrotc,5:34,131,139,false,false,8
08-0129,ajrotc,4:15,137,145,false,false,8
08-1163,cap,5:59,182,190,false,false,8
08-1240,mcjrotc,5:28,123,131,false,false,8
08-1558,cap,6:05,138,146,false,true,8
08-1350,cap,2:28,61,69,false,false,8
08-0619,cap,3:35,86,94,false,false,8
08-2465,cap,6:03,126,134,false,true,8
08-1355,afjrotc,4:21,108,116,false,false,8
08-3297,afjrotc,4:22,95,83,true,false,-12
08-0028,afjrotc,5:57,131,139,false,false,8
08-1025,cap,6:02,143,151,false,true,8
08-0027,afjrotc,5:57,175,183,false,false,8
08-0653,cap,6:05,145,153,false,true,8
08-0366,nscc,6:00,147,155,false,false,8
08-1228,cap,5:11,122,130,false,false,8
08-2220,afjrotc,1:30,94,102,false,false,8
08-1407,cap,4:28,44,52,false,false,8
08-1194,cap,5:56,128,136,false,false,8
08-1353,afjrotc,6:09,146,154,false,true,8
08-3105,cap,5:55,140,148,false,false,8
08-2426,cap,5:44,120,128,false,false,8
08-2427,cap,5:56,139,147,false,false,8
08-2436,cap,5:53,127,135,false,false,8
08-0171,cap,5:52,132,140,false,false,8
08-3175,cap,3:25,59,67,false,false,8
08-1132,cap,4:40,47,55,false,false,8
08-0547,cap,5:49,152,160,false,false,8
08-3486,afjrotc,5:32,169,177,false,false,8
08-0269,njrotc,5:53,182,190,false,false,8
08-1474,cap,5:36,56,64,false,false,8
08-3123,cap,5:53,105,113,false,false,8
08-0360,cap,5:59,147,155,false,false,8
08-1460,nscc,28:29,134,142,false,true,8
08-1639,cap,5:50,126,134,false,false,8
08-0840,mcjrotc,5:52,166,174,false,false,8
08-3391,cap,5:49,113,126,false,false,13
08-2545,cap,4:43,95,103,false,false,8
08-2814,cap,5:37,127,135,false,false,8
08-1062,mcjrotc,3:27,145,153,false,false,8
08-1168,nscc,5:48,110,118,false,false,8
08-2503,ajrotc,5:32,131,139,false,false,8
08-1687,cap,5:57,168,176,false,false,8
08-0771,cap,5:53,171,179,false,false,8
08-0365,nscc,6:03,146,154,false,true,8
08-1709,cap,5:55,141,149,false,false,8
08-1764,cap,5:47,127,135,false,false,8
08-0864,cap,5:58,139,147,false,false,8
08-2294,cap,33:16,56,64,false,true,8
08-0673,afjrotc,5:57,78,91,false,false,13
08-1934,afjrotc,5:23,54,62,false,false,8
08-0497,cap,6:01,134,147,false,true,13
08-1876,afjrotc,2:51,62,70,false,false,8
08-1855,cap,5:54,103,111,false,false,8
08-1871,njrotc,5:32,127,135,false,false,8
08-0815,cap,5:55,160,168,false,false,8
08-0696,afjrotc,5:35,143,156,false,false,13
08-2892,afjrotc,5:43,165,173,false,false,8
08-1710,cap,5:38,166,174,false,false,8
08-1126,cap,5:43,118,126,false,false,8
08-0161,cap,5:37,176,184,false,false,8
08-0147,mcjrotc,3:07,125,133,false,false,8
08-1282,cap,6:00,167,175,false,false,8
08-0030,cap,5:59,161,169,false,false,8
08-0260,cap,4:40,144,152,false,false,8
08-1218,cap,5:37,175,183,false,false,8
08-1996,afjrotc,6:15,66,74,false,true,8
08-1995,afjrotc,6:29,73,81,false,true,8
08-1384,afjrotc,5:42,100,108,false,false,8
08-1479,njrotc,5:21,121,129,false,false,8
08-3166,cap,4:38,70,78,false,false,8
08-0388,ajrotc,2:38,133,141,false,false,8
08-2383,ajrotc,6:09,143,151,false,true,8
08-0933,njrotc,5:58,141,149,false,false,8
08-0609,cap,3:17,35,43,false,false,8
08-3420,cap,3:00,48,56,false,false,8
08-1892,njrotc,5:50,94,102,false,false,8
08-1968,cap,6:04,57,65,false,true,8
08-0822,cap,5:59,175,183,false,false,8
08-1006,cap,5:59,135,143,false,false,8
08-0569,cap,6:01,140,148,false,true,8
08-1233,cap,5:33,130,138,false,false,8
08-1190,ajrotc,5:58,175,183,false,false,8
08-0258,cap,5:24,156,164,false,false,8
08-1830,cap,4:34,113,121,false,false,8
08-1614,cap,5:17,131,139,false,false,8
08-1131,cap,4:27,75,83,false,false,8
08-1503,afjrotc,3:19,60,68,false,false,8
08-0162,ajrotc,5:29,123,131,false,false,8
08-2442,cap,4:47,182,190,false,false,8
08-2843,ajrotc,5:56,125,133,false,false,8
08-3439,cap,4:58,112,120,false,false,8
08-1469,njrotc,3:04,105,113,false,false,8
08-2234,ajrotc,5:55,186,194,false,false,8
08-0556,afjrotc,5:58,179,187,false,false,8
08-2233,ajrotc,5:53,182,190,false,false,8
08-1356,afjrotc,2:54,108,121,false,false,13
08-2235,ajrotc,5:45,84,92,false,false,8
08-2221,afjrotc,5:07,128,136,false,false,8
08-0072,njrotc,5:53,101,109,true,false,8
08-2111,njrotc,5:52,117,125,false,false,8
08-0174,cap,3:35,144,152,false,false,8
08-2623,cap,3:44,100,108,false,false,8
08-1424,afjrotc,5:36,143,151,false,false,8
08-2082,afjrotc,5:35,109,117,false,false,8
08-2114,cap,2:40,48,56,false,false,8
08-1805,afjrotc,2:27,154,162,false,false,8
08-3377,cap,2:18,63,71,false,false,8
08-1749,afjrotc,6:03,65,73,false,true,8
08-3113,cap,5:59,118,126,false,false,8
08-2063,cap,5:54,80,88,false,false,8
08-0056,afjrotc,6:27,114,122,false,true,8
08-2805,afjrotc,6:30,92,100,false,true,8
08-1231,afjrotc,5:03,137,145,false,false,8
08-1597,afjrotc,3:00,29,37,false,false,8
08-2036,cap,5:48,125,133,false,false,8
08-2196,mcjrotc,1:45,50,58,false,false,8
08-2354,cap,5:57,153,161,false,false,8
08-1467,cap,6:07,61,69,false,true,8
08-3038,cap,6:06,133,141,false,true,8
08-1801,cap,4:13,136,144,false,false,8
08-1230,afjrotc,3:15,161,169,false,false,8
08-1516,cap,4:01,99,107,false,false,8
08-1798,cap,5:57,180,188,false,false,8
08-1393,afjrotc,5:28,149,157,false,false,8
08-1376,cap,4:51,88,96,false,false,8
08-3320,njrotc,5:08,121,129,false,false,8
08-2011,afjrotc,5:05,101,109,false,false,8
08-0544,cap,6:02,157,170,false,true,13
08-0322,afjrotc,5:45,139,147,false,false,8
08-2855,cap,6:19,152,160,false,true,8
08-2854,cap,5:43,114,122,false,false,8
08-1579,cap,6:08,170,178,false,true,8
08-1349,njrotc,4:26,112,120,false,false,8
08-1010,cap,5:53,186,194,false,false,8
08-1011,cap,5:45,143,151,false,false,8
08-3436,cap,4:58,149,157,false,false,8
08-1423,cap,5:51,176,184,false,false,8
08-2238,cap,4:01,155,163,false,false,8
08-1019,nscc,3:38,168,176,false,false,8
08-1379,njrotc,6:05,154,162,false,true,8
08-2192,mcjrotc,5:34,187,100,false,false,-87
08-1286,afjrotc,5:49,169,177,false,false,8
08-2185,afjrotc,5:54,158,166,false,false,8
08-1645,cap,5:29,108,116,false,false,8
08-1646,cap,5:44,91,99,false,false,8
08-0199,cap,5:27,146,154,false,false,8
08-0610,cap,6:00,126,134,false,false,8
08-0266,cap,6:03,159,167,false,true,8
08-1557,cap,4:09,78,86,false,false,8
08-1950,cap,6:15,67,75,false,true,8
08-1153,cap,5:51,145,153,false,false,8
08-0315,cap,5:53,146,154,false,false,8
08-1123,cap,3:56,134,142,false,false,8
08-0470,cap,5:51,145,153,false,false,8
08-0357,cap,5:51,163,171,false,false,8
08-1902,cap,5:57,141,149,false,false,8
08-1910,afjrotc,6:03,141,149,false,true,8
08-1134,cap,5:35,123,131,false,false,8
08-3220,afjrotc,5:45,134,154,false,false,20
08-3251,njrotc,3:08,71,79,false,false,8
08-0329,afjrotc,5:46,160,165,false,false,5
08-1903,nscc,5:07,152,165,false,false,13
08-3278,cap,5:57,118,123,false,false,5
08-3250,njrotc,4:03,71,79,false,false,8
08-0484,ajrotc,5:33,137,145,false,false,8
08-1298,njrotc,5:44,122,130,false,false,8
08-0006,cap,5:55,129,137,false,false,8
08-0942,cap,5:55,182,190,false,false,8
08-1807,afjrotc,5:26,170,178,false,false,8
08-2157,ajrotc,5:42,173,178,false,false,5
08-0211,mcjrotc,5:33,137,145,false,false,8
08-1506,afjrotc,5:26,120,128,false,false,8
08-2016,cap,5:55,165,173,false,false,8
08-0951,afjrotc,5:23,142,150,false,false,8
08-0543,cap,6:34,152,160,false,true,8
08-2172,afjrotc,5:49,113,121,false,false,8
08-2174,afjrotc,5:47,140,148,false,false,8
08-0344,cap,5:50,165,173,false,false,8
08-2675,cap,5:38,111,119,false,false,8
08-2380,cap,4:30,129,137,false,false,8
08-3408,cap,2:26,38,46,false,false,8
08-0265,nscc,3:49,171,179,false,false,8
08-2382,cap,3:51,49,57,false,false,8
08-1049,nscc,5:45,142,150,false,false,8
08-2279,cap,2:46,26,34,false,false,8
08-1048,nscc,5:52,127,135,false,false,8
08-2416,cap,5:59,168,176,false,false,8
08-2737,cap,3:30,80,88,false,false,8
08-1846,njrotc,5:35,163,171,false,false,8
08-1825,ajrotc,5:49,157,165,false,false,8
08-0607,cap,5:51,126,134,false,false,8
08-3321,njrotc,5:52,104,112,false,false,8
08-1383,afjrotc,4:57,138,146,false,false,8
08-0934,afjrotc,7:53,152,160,false,true,8
