08-1317,Alabama,Platinum,266,27.225,293.225,Advances to Regional Round
08-2204,California,Platinum,266,27.225,293.225,Does not advance
08-0217,Tennessee,Platinum,268,24.75,292.75,Advances to Regional Round
08-0118,Colorado,Platinum,262,29.7,291.7,Does not advance
08-0309,California,Platinum,270,21.45,291.45,Advances to Regional Round
08-0614,California,Platinum,264,27.225,291.225,Does not advance
08-2683,Canada,Platinum,263,28.05,291.05,Does not advance
08-2065,Texas,Platinum,272,18.975,290.975,Advances to Regional Round
08-2395,California,Platinum,267,23.925,290.925,Does not advance
08-1889,Virginia,Platinum,265,25.575,290.575,Does not advance
08-2576,California,Platinum,264,26.4,290.4,Advances to Regional Round
08-2930,Maryland,Platinum,260,29.7,289.7,Does not advance
08-2486,California,Platinum,269,20.625,289.625,Does not advance
08-0008,Ohio,Platinum,261,28.05,289.05,Advances to Regional Round
08-2911,Virginia,Platinum,261,28.05,289.05,Does not advance
08-1497,Texas,Platinum,264,24.75,288.75,Does not advance
08-0598,Massachusetts,Platinum,257,31.35,288.35,Advances to Regional Round
08-1737,Alabama,Platinum,261,27.225,288.225,Does not advance
08-2820,Florida,Platinum,256,32.175,288.175,Does not advance
08-0272,California,Platinum,270,18.15,288.15,Does not advance
08-0977,Virginia,Platinum,259,28.875,287.875,Does not advance
08-2874,Texas,Platinum,258,29.7,287.7,Does not advance
08-0396,Virginia,Platinum,255,32.175,287.175,Does not advance
08-0392,New Mexico,Platinum,263,23.925,286.925,Advances to Regional Round
08-2575,California,Platinum,258,28.05,286.05,Advances to Regional Round
08-0495,Virginia,Platinum,258,28.05,286.05,Does not advance
08-1915,Virginia,Platinum,258,28.05,286.05,Does not advance
08-0768,Colorado,Platinum,264,21.45,285.45,Does not advance
08-0523,Hawaii,Platinum,254,31.35,285.35,Advances to Regional Round
08-0887,Texas,Platinum,254,31.35,285.35,Does not advance
08-2937,Pennsylvania,Platinum,257,28.05,285.05,Advances to Regional Round
08-1522,Tennessee,Platinum,257,28.05,285.05,Advances to Regional Round
08-1422,California,Platinum,252,33,285,Does not advance
08-1021,Pennsylvania,Platinum,252,33,285,Advances to Regional Round
08-1870,Massachusetts,Platinum,259,25.575,284.575,Advances to Regional Round
08-2365,Massachusetts,Platinum,253,31.35,284.35,Advances to Regional Round
08-1088,Virginia,Platinum,256,28.05,284.05,Does not advance
08-0022,Oklahoma,Platinum,260,23.925,283.925,Advances to Regional Round
08-0530,California,Platinum,257,26.4,283.4,Does not advance
08-0866,Wisconsin,Platinum,255,28.05,283.05,Advances to Regional Round
08-0731,Washington,Platinum,257,25.575,282.575,Does not advance
08-1984,Virginia,Platinum,261,21.45,282.45,Does not advance
08-2251,Virginia,Platinum,256,26.4,282.4,Does not advance
08-0257,Massachusetts,Platinum,251,31.35,282.35,Does not advance
08-1667,Oklahoma,Platinum,251,31.35,282.35,Advances to Regional Round
08-1338,New Jersey,Platinum,250,32.175,282.175,Advances to Regional Round
08-0102,Texas,Platinum,250,32.175,282.175,Does not advance
08-0206,California,Platinum,253,28.875,281.875,Does not advance
08-0978,Virginia,Platinum,257,24.75,281.75,Does not advance
08-2604,Maryland,Platinum,253,28.05,281.05,Does not advance
08-1104,Maryland,Platinum,257,23.925,280.925,Does not advance
08-1433,Texas,Platinum,259,21.45,280.45,Does not advance
08-1434,Texas,Platinum,259,21.45,280.45,Does not advance
08-1229,Virginia,Platinum,252,28.05,280.05,Does not advance
08-2938,Pennsylvania,Platinum,255,24.75,279.75,Does not advance
08-0039,Indiana,Platinum,249,30.525,279.525,Advances to Regional Round
08-1723,Illinois,Platinum,253,26.4,279.4,Advances to Regional Round
08-0724,Tennessee,Platinum,252,27.225,279.225,Does not advance
08-0378,Alabama,Platinum,250,28.875,278.875,Does not advance
08-0218,Tennessee,Platinum,249,29.7,278.7,Does not advance
08-2397,California,Platinum,248,30.525,278.525,Does not advance
08-0757,Arizona ,Platinum,253,24.75,277.75,Advances to Regional Round
08-0505,Hawaii,Platinum,246,31.35,277.35,Advances to Regional Round
08-0003,Colorado,Platinum,250,27.225,277.225,Does not advance
08-0604,California,Platinum,247,29.7,276.7,Does not advance
08-2972,Colorado,Platinum,256,20.625,276.625,Does not advance
08-2681,Indiana,Platinum,252,23.925,275.925,Advances to Regional Round
08-0566,Texas,Platinum,251,24.75,275.75,Does not advance
08-1839,Alabama,Platinum,250,25.575,275.575,Does not advance
08-1020,Pennsylvania,Platinum,248,27.225,275.225,Does not advance
08-1935,South Carolina,Platinum,251,23.925,274.925,Does not advance
08-0087,Indiana,Platinum,245,29.7,274.7,Advances to Regional Round
08-2862,Maryland,Platinum,245,29.7,274.7,Does not advance
08-0985,Virginia,Platinum,245,29.7,274.7,Does not advance
08-0001,Colorado,Platinum,253,21.45,274.45,Does not advance
08-1450,Virginia,Platinum,243,31.35,274.35,Does not advance
08-0009,Ohio,Platinum,252,22.275,274.275,Advances to Regional Round
08-0350,Virginia,Platinum,246,28.05,274.05,Does not advance
08-0496,Virginia,Platinum,250,23.925,273.925,Does not advance
08-0889,California,Platinum,244,29.7,273.7,Does not advance
08-1274,Alabama,Platinum,253,20.625,273.625,Does not advance
08-0572,Vermont,Platinum,247,26.4,273.4,Advances to Regional Round
08-0182,Indiana,Platinum,242,31.35,273.35,Does not advance
08-2362,Michigan,Platinum,240,33,273,Advances to Regional Round
08-1576,Texas,Platinum,240,33,273,Does not advance
08-3423,California,Platinum,244,28.875,272.875,Does not advance
08-0952,Oklahoma,Platinum,248,24.75,272.75,Does not advance
08-2243,California,Platinum,243,29.7,272.7,Does not advance
08-3342,Florida,Platinum,247,25.575,272.575,Does not advance
08-1886,Maine,Platinum,245,27.225,272.225,Advances to Regional Round
08-2377,California,Platinum,244,28.05,272.05,Does not advance
08-0761,Nevada,Platinum,244,28.05,272.05,Advances to Regional Round
08-0376,Alabama,Platinum,243,28.875,271.875,Does not advance
08-1164,Tennessee,Platinum,243,28.875,271.875,Does not advance
08-2707,Canada,Platinum,247,24.75,271.75,Does not advance
08-2461,Hawaii,Platinum,247,24.75,271.75,Does not advance
08-0377,Alabama,Platinum,250,21.45,271.45,Does not advance
08-2626,Nevada,Platinum,244,27.225,271.225,Advances to Regional Round
08-3000,South Carolina,Platinum,247,23.925,270.925,Does not advance
08-0622,California,Platinum,242,28.875,270.875,Does not advance
08-1998,Virginia,Platinum,251,19.8,270.8,Does not advance
08-0133,Missouri,Platinum,241,29.7,270.7,Does not advance
08-0778,Colorado,Platinum,245,25.575,270.575,Does not advance
08-0236,Massachusetts,Platinum,249,21.45,270.45,Does not advance
08-2776,Minnesota,Platinum,239,31.35,270.35,Advances to Regional Round
08-1523,Tennessee,Platinum,238,32.175,270.175,Does not advance
08-0165,South Carolina,Platinum,242,28.05,270.05,Does not advance
08-2108,Texas,Platinum,251,18.975,269.975,Does not advance
08-1053,Washington,Platinum,241,28.875,269.875,Does not advance
08-2827,Colorado,Platinum,240,29.7,269.7,Does not advance
08-0084,Indiana,Platinum,254,15.675,269.675,Advances to Regional Round
08-0021,Oklahoma,Platinum,248,21.45,269.45,Does not advance
08-0565,Wisconsin,Platinum,243,25.575,268.575,Advances to Regional Round
08-1918,Virginia,Platinum,247,21.45,268.45,Does not advance
08-3114,Hawaii,Platinum,242,26.4,268.4,Does not advance
08-0140,Ohio,Platinum,245,23.1,268.1,Advances to Regional Round
08-0567,Texas,Platinum,249,18.975,267.975,Does not advance
08-0209,California,Platinum,239,28.875,267.875,Does not advance
08-1525,Texas,Platinum,238,29.7,267.7,Does not advance
08-2364,Massachusetts,Platinum,237,30.525,267.525,Does not advance
08-2166,Maine,Platinum,236,31.35,267.35,Advances to Regional Round
08-2173,Florida,Platinum,245,22.275,267.275,Does not advance
08-0775,Hawaii,Platinum,240,27.225,267.225,Does not advance
08-1344,Kansas,Platinum,243,23.925,266.925,Advances to Regional Round
08-0836,Delaware,Platinum,245,21.45,266.45,Advances to Regional Round
08-2091,New Jersey,Platinum,235,31.35,266.35,Does not advance
08-1071,Washington,Platinum,238,28.05,266.05,Does not advance
08-2155,Virginia,Platinum,237,28.875,265.875,Does not advance
08-1938,South Carolina,Platinum,236,29.7,265.7,Does not advance
08-0134,Missouri,Platinum,237,28.05,265.05,Does not advance
08-2861,Maryland,Platinum,236,28.875,264.875,Does not advance
08-0821,Hawaii,Platinum,242,22.825,264.825,Does not advance
08-2225,California,Platinum,240,24.75,264.75,Does not advance
08-0374,Washington,Platinum,240,24.75,264.75,Does not advance
08-2060,Washington,Platinum,240,24.75,264.75,Does not advance
08-1724,Illinois,Platinum,244,20.625,264.625,Advances to Regional Round
08-1936,South Carolina,Platinum,244,20.625,264.625,Does not advance
08-1955,Texas,Platinum,243,21.45,264.45,Does not advance
08-1932,New York,Platinum,239,24.75,263.75,Advances to Regional Round
08-3085,Texas,Platinum,239,24.75,263.75,Does not advance
08-0491,Texas,Platinum,241,22.275,263.275,Does not advance
08-2578,California,Platinum,235,28.05,263.05,Does not advance
08-0082,Indiana,Platinum,234,28.875,262.875,Does not advance
08-0041,Washington,Platinum,238,24.75,262.75,Does not advance
08-1445,Texas,Platinum,240,22.275,262.275,Does not advance
08-2359,Colorado,Platinum,238,23.925,261.925,Does not advance
08-2885,California,Platinum,237,24.75,261.75,Does not advance
08-2268,Maryland,Platinum,232,29.7,261.7,Does not advance
08-1822,Ohio,Platinum,236,25.575,261.575,Does not advance
08-1332,Missouri,Platinum,235,26.4,261.4,Does not advance
08-1297,Florida,Platinum,234,27.225,261.225,Does not advance
